fecha,tipo,subtipo,subtipo_normalizado,ciudad,calle,lat,lon
2025-04-28 03:34:29,Peligro,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Otro,Lo Prado,Av. Neptuno,-33.452236,-70.722933
2025-04-28 03:33:53,Peligro,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Otro,Lo Prado,Av. Neptuno,-33.448413,-70.723204
2025-04-28 03:34:09,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Recoleta,Ernesto Pinto Lagarrigue,-33.430743,-70.637143
2025-04-28 03:35:17,Policía,,Otro,Santiago,Av. Libertador Bernardo O'Higgins,-33.443012,-70.646563
2025-04-28 03:36:55,Tráfico,,Otro,Santiago,Av. Libertador Bernardo O'Higgins,-33.437618,-70.636397
2025-04-28 03:37:00,Accidente,,Otro,Santiago,Av. Libertador Bernardo O'Higgins,-33.437379,-70.635587
2025-04-28 03:36:34,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,San Miguel,Av. Presidente José Joaquín Prieto Vial,-33.501239,-70.666314
2025-04-28 03:34:50,Policía,POLICE_HIDING,Otro,Santiago,Huérfanos,-33.440267,-70.657213
2025-04-28 03:37:11,Tráfico,,Otro,Vitacura,Copec,-33.393695,-70.576751
2025-04-28 03:31:44,Policía,,Otro,Puente Alto,Pasaje Los Profesores,-33.559302,-70.555439
2025-04-28 03:36:36,Peligro,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Otro,San Bernardo,Eyzaguirre,-33.605586,-70.715608
2025-04-30 19:21:09,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Liray,Santa Marta de Liray,-33.240021,-70.738532
2025-04-30 19:25:17,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Chicureo,Caletera General San Martín,-33.205461,-70.665434
2025-04-30 19:25:09,Policía,,Otro,La Chupalla de Curacaví,Caletera Norte Ruta 68,-33.403992,-71.089208
2025-04-30 19:22:16,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Padre Hurtado,Av. San Ignacio,-33.570072,-70.819769
2025-04-30 19:21:35,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Maipú,Los Pintores,-33.477609,-70.744392
2025-04-30 19:19:40,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Pudahuel,Av. Teniente Luis Cruz Martínez,-33.451064,-70.739222
2025-04-30 19:24:12,Peligro,HAZARD_ON_ROAD,Otro,Estación Central,Av. Las Torres,-33.468052,-70.731398
2025-04-30 19:22:47,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Maipú,Los Pintores,-33.477733,-70.742878
2025-04-30 19:20:44,Policía,,Otro,Lo Prado,Corona Sueca,-33.450369,-70.735466
2025-04-30 19:23:20,Peligro,HAZARD_ON_ROAD,Otro,Estación Central,Av. Las Torres,-33.467425,-70.730916
2025-04-30 19:23:59,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Maipú,Av. Pajaritos,-33.488616,-70.751876
2025-04-30 19:21:04,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Maipú,Av. Pajaritos,-33.489448,-70.752753
2025-04-30 19:24:04,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Maipú,Av. Pajaritos,-33.471815,-70.737528
2025-04-30 19:19:29,Peligro,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Otro,Estación Central,Av. Las Torres,-33.467621,-70.730918
